年,地区名,町名,世帯,計（人）,男性（人）,女性（人）
2015,第一,大手町一丁目,226,475,230,245
2015,第一,大手町二丁目,249,458,227,231
2015,第一,大手町三丁目,121,211,112,99
2015,第一,大手町四丁目,165,289,137,152
2015,第一,大手町五丁目,125,241,123,118
2015,第一,本字出口町,33,73,35,38
2015,第一,幸町,52,121,61,60
2015,第一,本白銀町,146,272,134,138
2015,第一,白銀町,177,367,180,187
2015,第一,末広町,279,649,310,339
2015,第一,仲町,26,55,25,30
2015,第一,浅間町,98,239,109,130
2015,第一,魚町,83,186,94,92
2015,第一,通横町,7,11,5,6
2015,第一,鵰町,9,25,11,14
2015,第一,新町,3,8,5,3
2015,第一,添地町,190,316,150,166
2015,第一,西条町,196,382,184,198
2015,第一,上土町,118,239,122,117
2015,第一,本字仲町,4,9,4,5
2015,第一,本字浅間町,21,47,21,26
2015,第一,本字新町,10,25,13,12
2015,第一,本錦町,243,521,236,285
2015,第一,本丸子町,113,289,138,151
2015,第一,錦町,68,134,67,67
2015,第一,丸子町,7,10,3,7
2015,第一,八幡町,184,333,156,177
2015,第一,本町,61,107,54,53
2015,第一,下本町,43,76,41,35
2015,第一,大門町,34,79,37,42
2015,第一,真砂町,453,905,442,463
2015,第一,町方町,126,253,115,138
2015,第一,東宮後町,22,49,21,28
2015,第二,旭町,188,406,217,189
2015,第二,本字下小路町,97,195,91,104
2015,第二,本字宮町,77,182,91,91
2015,第二,市道町,328,699,309,390
2015,第二,春日町,81,150,79,71
2015,第二,蓼原町,80,189,92,97
2015,第二,蛇松町,99,202,91,111
2015,第二,本字下河原町,73,164,83,81
2015,第二,本字下河原街出口,92,179,86,93
2015,第二,下河原町,514,1088,527,561
2015,第二,本字下一丁田,124,279,130,149
2015,第二,本字前田,36,78,41,37
2015,第二,本字千本郷林,113,231,101,130
2015,第二,本字千本,62,128,58,70
2015,第二,本字千本,57,128,64,64
2015,第二,千本常盤町,61,111,52,59
2015,第二,常盤町一丁目,75,183,87,96
2015,第二,常盤町二丁目,48,103,48,55
2015,第二,常盤町三丁目,129,283,126,157
2015,第二,本松下,129,293,130,163
2015,第二,本西松下,71,161,76,85
2015,第二,本字松下七反田,75,175,84,91
2015,第二,松下町,19,42,21,21
2015,第二,千本緑町一丁目,83,171,73,98
2015,第二,千本緑町二丁目,42,74,35,39
2015,第二,千本緑町三丁目,66,115,54,61
2015,第二,千本港町,86,176,89,87
2015,第二,千本東町,79,161,79,82
2015,第二,千本西町,173,282,128,154
2015,第二,千本中町,71,173,76,97
2015,第三,我入道秋葉町,205,461,219,242
2015,第三,我入道外新田,2,5,2,3
2015,第三,下香貫石原,191,405,201,204
2015,第三,下香貫藤井原,238,501,263,238
2015,第三,下香貫矢丸,108,276,134,142
2015,第三,我入道稲荷町,138,319,163,156
2015,第三,下香貫牛臥,353,785,385,400
2015,第三,下香貫山宮前,30,73,35,38
2015,第三,我入道江川,164,388,199,189
2015,第三,我入道南条寺,243,572,269,303
2015,第三,香貫が丘,100,320,155,165
2015,第三,下香貫木ノ宮,412,1030,487,543
2015,第三,下香貫前角,81,187,88,99
2015,第三,下香貫猪沼,89,132,50,82
2015,第三,下香貫塩場,168,389,206,183
2015,第三,下香貫前原,142,307,142,165
2015,第三,下香貫浜田,201,488,242,246
2015,第三,下香貫善太夫,170,392,190,202
2015,第三,下香貫上障子,177,344,166,178
2015,第三,下香貫下障子,364,814,399,415
2015,第三,善太夫西原,6,16,9,7
2015,第三,下香貫外原,59,125,59,66
2015,第三,我入道津島町,76,159,83,76
2015,第三,下香貫島郷,391,908,455,453
2015,第三,下香貫塚田,183,414,196,218
2015,第三,下香貫大久保,286,670,306,364
2015,第三,下香貫柿原,203,405,211,194
2015,第三,下香貫清水,193,446,210,236
2015,第三,下香貫馬場,322,747,379,368
2015,第三,下香貫西村,130,247,126,121
2015,第三,下香貫上ノ原,160,350,165,185
2015,第三,下香貫給田,13,29,15,14
2015,第三,我入道浜町,106,248,112,136
2015,第三,我入道蔓陀ヶ原,35,64,32,32
2015,第三,我入道浜方,14,36,16,20
2015,第三,我入道林町,116,265,121,144
2015,第三,我入道東町,162,409,199,210
2015,第三,我入道一本松町,137,341,164,177
2015,第三,下香貫塩満,182,397,184,213
2015,第三,下香貫七面,89,220,117,103
2015,第三,下香貫林ノ下,244,570,296,274
2015,第三,下香貫汐入,262,540,285,255
2015,第三,下香貫樋ノ口,179,407,201,206
2015,第三,下香貫宮脇,406,1001,500,501
2015,第三,下香貫宮原,43,89,43,46
2015,第三,下香貫八重,437,1027,516,511
2015,第三,下香貫八重原,4,8,5,3
2015,第三,下香貫楊原,427,1008,474,534
2015,第三,下香貫六反,9,18,8,10
2015,第四,市場町,329,629,303,326
2015,第四,上香貫大洞,1,2,1,1
2015,第四,上香貫仰天峰,17,36,19,17
2015,第四,上香貫長洞,3,8,4,4
2015,第四,上香貫東坂,6,11,5,6
2015,第四,上香貫蔓陀ヶ原,1,3,2,1
2015,第四,黒瀬町,52,124,59,65
2015,第四,西島町,597,1282,617,665
2015,第四,住吉町,234,525,260,265
2015,第四,三園町,524,1132,563,569
2015,第四,玉江町,221,486,235,251
2015,第四,中瀬町,391,810,400,410
2015,第四,中原町,76,183,95,88
2015,第四,上香貫三貫地,207,531,265,266
2015,第四,上香貫東本郷町,4,6,2,4
2015,第四,上香貫二瀬川町,143,302,144,158
2015,第四,上香貫宮原町,196,425,209,216
2015,第四,上香貫獅子路,9,20,12,8
2015,第四,上香貫槙島町,101,221,106,115
2015,第四,上香貫一ノ洞,3,8,4,4
2015,第四,上香貫三ノ洞,8,13,8,5
2015,第四,上香貫九十九洞,21,52,28,24
2015,第四,上香貫坂口,4,4,0,4
2015,第四,上香貫手城山,4,5,2,3
2015,第四,山ヶ下町,15,33,18,15
2015,第四,上香貫八重,17,46,19,27
2015,第四,上香貫鉛山,3,3,1,2
2015,第四,本郷町,696,1606,731,875
2015,第四,上香貫三園町,32,64,28,36
2015,第四,南本郷町,321,742,350,392
2015,第四,上香貫南本郷町,14,31,16,15
2015,第四,御幸町,482,1063,507,556
2015,第四,吉田町,945,1886,893,993
2015,第五,泉町,343,773,372,401
2015,第五,庄栄町,389,854,390,464
2015,第五,山王台,385,801,399,402
2015,第五,三枚橋町,405,841,408,433
2015,第五,杉崎町,373,840,411,429
2015,第五,新宿町,836,1575,703,872
2015,第五,三枚橋杉崎町,1,7,4,3
2015,第五,平町,550,1003,532,471
2015,第五,高島町,694,1297,631,666
2015,第五,高沢町,916,1798,879,919
2015,第五,高島本町,358,717,365,352
2015,第五,本字下中溝,7,17,8,9
2015,第五,三枚橋荒田,19,46,25,21
2015,第五,三枚橋竹ノ岬,71,186,93,93
2015,第五,日の出町,329,699,341,358
2015,第五,三枚橋日ノ出町,72,170,77,93
2015,第五,富士見町,174,345,175,170
2015,第五,双葉町,297,571,280,291
2015,第五,本田町,505,1098,584,514
2015,第五,三芳町,96,220,96,124
2015,第五,米山町,430,1013,479,534
2015,大平,大平,1618,4026,1971,2055
2015,片浜,今沢,2199,4422,2067,2355
2015,片浜,大諏訪,1247,2836,1472,1364
2015,片浜,北今沢,338,847,430,417
2015,片浜,小諏訪,1105,2567,1268,1299
2015,片浜,西間門二丁目,32,63,29,34
2015,片浜,西間門三丁目,22,58,29,29
2015,片浜,西間門,1243,2683,1319,1364
2015,片浜,東間門一丁目,11,27,15,12
2015,片浜,東間門二丁目,86,200,95,105
2015,片浜,東間門三丁目,60,134,65,69
2015,片浜,東間門,260,577,284,293
2015,片浜,松長,1041,2408,1190,1218
2015,金岡,足高,652,1240,622,618
2015,金岡,共栄町,305,648,336,312
2015,金岡,江原町,451,995,482,513
2015,金岡,神田町,462,960,556,404
2015,金岡,北園町,83,193,91,102
2015,金岡,寿町,553,1125,554,571
2015,金岡,沢田,16,45,25,20
2015,金岡,沢田町,120,295,141,154
2015,金岡,岡一色,1379,3312,1653,1659
2015,金岡,北高島町,453,940,478,462
2015,金岡,新沢田町,648,1495,743,752
2015,金岡,駿河台,442,1030,531,499
2015,金岡,高尾台,237,553,272,281
2015,金岡,高砂町,359,838,415,423
2015,金岡,五月町,547,1129,545,584
2015,金岡,筒井町,192,421,200,221
2015,金岡,中沢田,634,1538,774,764
2015,金岡,西熊堂,440,1084,549,535
2015,金岡,西沢田,1506,3447,1756,1691
2015,金岡,沼北町一丁目,538,1138,594,544
2015,金岡,沼北町二丁目,377,896,450,446
2015,金岡,花園町,291,623,323,300
2015,金岡,東熊堂,557,1218,628,590
2015,金岡,東沢田,408,1025,524,501
2015,金岡,宮前町,199,468,230,238
2015,金岡,松沢町,296,716,357,359
2015,金岡,緑ヶ丘,139,312,167,145
2015,金岡,岡宮,2661,6165,3034,3131
2015,金岡,柳町,479,981,496,485
2015,金岡,豊町,318,774,377,397
2015,金岡,若葉町,625,1358,695,663
2015,大岡,大岡　石田ヶ丘,73,178,87,91
2015,大岡,大岡　駅前町,555,1230,601,629
2015,大岡,大岡　自由ヶ丘,511,947,420,527
2015,大岡,大岡　上石田,951,2232,1128,1104
2015,大岡,大岡　木瀬川,1507,3494,1749,1745
2015,大岡,大岡　平和郷,140,347,167,180
2015,大岡,大岡　北小林,424,970,485,485
2015,大岡,小林台,133,327,164,163
2015,大岡,大岡　下石田,1896,4565,2182,2383
2015,大岡,大岡　仙岳町,40,113,55,58
2015,大岡,大岡　太田町,161,344,163,181
2015,大岡,大岡　高田,583,1170,618,552
2015,大岡,大岡　竹ノ岬,82,185,96,89
2015,大岡,大岡　富士通ハイツ,88,164,104,60
2015,大岡,大岡　中石田,1382,3064,1556,1508
2015,大岡,大岡　富岳町,101,150,58,92
2015,大岡,大岡　富士町,81,188,89,99
2015,大岡,大岡　沼平町,294,636,300,336
2015,大岡,大岡　南小林,1366,3235,1588,1647
2015,大岡,大岡　柏葉尾,286,644,301,343
2015,大岡,大岡　日吉,1501,3422,1679,1743
2015,大岡,大岡　大岡団地,238,442,191,251
2015,静浦,江浦,293,698,323,375
2015,静浦,口野,231,547,266,281
2015,静浦,志下,1393,2958,1525,1433
2015,静浦,獅子浜,396,915,437,478
2015,静浦,多比,249,670,333,337
2015,静浦,馬込,212,489,246,243
2015,愛鷹,青野,873,2091,1062,1029
2015,愛鷹,鳥谷,613,1563,767,796
2015,愛鷹,西椎路,1354,3326,1656,1670
2015,愛鷹,東原,956,2382,1202,1180
2015,愛鷹,東椎路,2539,5924,2935,2989
2015,愛鷹,宮本　富士通寮,22,22,22,0
2015,愛鷹,宮本,170,299,167,132
2015,愛鷹,柳沢,268,676,325,351
2015,内浦,内浦小海,110,291,150,141
2015,内浦,内浦重須,232,484,215,269
2015,内浦,内浦重寺,138,330,158,172
2015,内浦,内浦長浜,85,224,112,112
2015,内浦,内浦三津,268,686,324,362
2015,西浦,西浦足保,32,89,42,47
2015,西浦,西浦江梨,79,223,103,120
2015,西浦,西浦河内,60,200,83,117
2015,西浦,西浦木負,126,364,178,186
2015,西浦,西浦久連,106,318,158,160
2015,西浦,西浦久料,25,82,40,42
2015,西浦,西浦古宇,157,259,122,137
2015,西浦,西浦立保,50,142,64,78
2015,西浦,西浦平沢,37,130,59,71
2015,原,植田,183,456,231,225
2015,原,原　新田,524,1227,637,590
2015,原,西添町,553,1393,717,676
2015,原,大塚,2272,5042,2432,2610
2015,原,原　西町,848,2132,1033,1099
2015,原,原　東町,1727,3987,1960,2027
2015,原,原町中一丁目,188,448,237,211
2015,原,原町中二丁目,239,545,280,265
2015,原,原町中三丁目,387,916,441,475
2015,原,一本松,370,770,364,406
2015,原,原　一本松,32,68,35,33
2015,原,桃里,495,1154,598,556
2015,原,原　六軒町,627,1588,774,814
2015,浮島,根古屋,791,1867,965,902
2015,浮島,井出,553,1430,683,747
2015,浮島,平沼,581,1168,603,565
2015,浮島,石川,599,1514,766,748
2015,戸田,井田,41,74,35,39
2015,戸田,戸田　入浜,166,382,200,182
2015,戸田,戸田　上野,89,207,100,107
2015,戸田,戸田　大浦,73,163,79,84
2015,戸田,戸田　大上,48,132,71,61
2015,戸田,戸田　奥南,44,95,42,53
2015,戸田,戸田　大中島,234,469,230,239
2015,戸田,戸田　鬼川,115,252,117,135
2015,戸田,戸田　小山田,78,156,83,73
2015,戸田,戸田　口南,45,89,40,49
2015,戸田,戸田　小中島,89,176,77,99
2015,戸田,戸田　一色,98,218,108,110
2015,戸田,戸田　新田,27,47,27,20
2015,戸田,戸田　大門,81,193,105,88
2015,戸田,戸田　中上,68,137,67,70
2015,戸田,戸田　平戸,59,142,71,71
2015,戸田,戸田　舟山,27,58,28,30
2015,戸田,戸田　御浜,53,100,55,45
2014,第一,大手町一丁目,230,483,231,252
2014,第一,大手町二丁目,245,456,227,229
2014,第一,大手町三丁目,124,216,109,107
2014,第一,大手町四丁目,164,299,141,158
2014,第一,大手町五丁目,136,262,137,125
2014,第一,本字出口町,35,73,36,37
2014,第一,幸町,51,125,64,61
2014,第一,本白銀町,149,274,137,137
2014,第一,白銀町,182,380,184,196
2014,第一,末広町,287,679,319,360
2014,第一,仲町,25,54,25,29
2014,第一,浅間町,98,238,109,129
2014,第一,魚町,83,187,93,94
2014,第一,通横町,6,10,4,6
2014,第一,鵰町,9,25,11,14
2014,第一,新町,3,8,5,3
2014,第一,添地町,193,323,150,173
2014,第一,西条町,199,391,183,208
2014,第一,上土町,125,254,127,127
2014,第一,本字仲町,4,10,5,5
2014,第一,本字浅間町,22,48,22,26
2014,第一,本字新町,10,26,14,12
2014,第一,本錦町,239,516,234,282
2014,第一,本丸子町,113,290,139,151
2014,第一,錦町,66,134,64,70
2014,第一,丸子町,8,10,3,7
2014,第一,八幡町,184,338,161,177
2014,第一,本町,58,104,55,49
2014,第一,下本町,44,78,39,39
2014,第一,大門町,35,84,39,45
2014,第一,真砂町,452,922,455,467
2014,第一,町方町,126,263,123,140
2014,第一,東宮後町,23,52,24,28
2014,第二,旭町,187,407,218,189
2014,第二,本字下小路町,96,195,94,101
2014,第二,本字宮町,77,185,90,95
2014,第二,市道町,330,704,315,389
2014,第二,春日町,81,155,81,74
2014,第二,蓼原町,88,212,97,115
2014,第二,蛇松町,97,205,91,114
2014,第二,本字下河原町,72,159,81,78
2014,第二,本字下河原街出口,90,183,86,97
2014,第二,下河原町,532,1132,543,589
2014,第二,本字下一丁田,126,283,130,153
2014,第二,本字前田,40,86,44,42
2014,第二,本字千本郷林,116,239,106,133
2014,第二,本字千本,66,140,66,74
2014,第二,本字千本,60,137,71,66
2014,第二,千本常盤町,64,117,53,64
2014,第二,常盤町一丁目,80,199,92,107
2014,第二,常盤町二丁目,39,87,44,43
2014,第二,常盤町三丁目,122,271,120,151
2014,第二,本松下,129,294,135,159
2014,第二,本西松下,71,158,72,86
2014,第二,本字松下七反田,78,182,87,95
2014,第二,松下町,19,44,23,21
2014,第二,千本緑町一丁目,90,189,82,107
2014,第二,千本緑町二丁目,44,79,37,42
2014,第二,千本緑町三丁目,72,125,60,65
2014,第二,千本港町,85,186,95,91
2014,第二,千本東町,86,170,85,85
2014,第二,千本西町,181,300,138,162
2014,第二,千本中町,72,179,79,100
2014,第三,我入道秋葉町,202,468,226,242
2014,第三,我入道外新田,1,4,2,2
2014,第三,下香貫石原,184,409,198,211
2014,第三,下香貫藤井原,232,493,257,236
2014,第三,下香貫矢丸,98,250,124,126
2014,第三,我入道稲荷町,139,331,168,163
2014,第三,下香貫牛臥,362,819,398,421
2014,第三,下香貫山宮前,33,80,38,42
2014,第三,我入道江川,172,413,204,209
2014,第三,我入道南条寺,236,564,268,296
2014,第三,香貫が丘,101,323,155,168
2014,第三,下香貫木ノ宮,418,1066,511,555
2014,第三,下香貫前角,86,194,91,103
2014,第三,下香貫猪沼,93,136,49,87
2014,第三,下香貫塩場,167,403,208,195
2014,第三,下香貫前原,135,301,138,163
2014,第三,下香貫浜田,203,501,253,248
2014,第三,下香貫善太夫,176,416,203,213
2014,第三,下香貫上障子,176,345,162,183
2014,第三,下香貫下障子,354,792,386,406
2014,第三,善太夫西原,5,16,8,8
2014,第三,下香貫外原,60,130,61,69
2014,第三,我入道津島町,74,159,83,76
2014,第三,下香貫島郷,397,940,460,480
2014,第三,下香貫塚田,177,411,193,218
2014,第三,下香貫大久保,278,663,304,359
2014,第三,下香貫柿原,193,401,201,200
2014,第三,下香貫清水,196,458,217,241
2014,第三,下香貫馬場,325,743,371,372
2014,第三,下香貫西村,133,266,137,129
2014,第三,下香貫上ノ原,147,336,156,180
2014,第三,下香貫給田,13,30,16,14
2014,第三,我入道浜町,104,255,120,135
2014,第三,我入道蔓陀ヶ原,36,68,35,33
2014,第三,我入道浜方,12,35,16,19
2014,第三,我入道林町,112,257,119,138
2014,第三,我入道東町,164,411,200,211
2014,第三,我入道一本松町,140,358,177,181
2014,第三,下香貫塩満,189,420,201,219
2014,第三,下香貫七面,89,223,117,106
2014,第三,下香貫林ノ下,240,577,297,280
2014,第三,下香貫汐入,270,573,297,276
2014,第三,下香貫樋ノ口,182,436,211,225
2014,第三,下香貫宮脇,414,1033,516,517
2014,第三,下香貫宮原,43,91,43,48
2014,第三,下香貫八重,442,1059,526,533
2014,第三,下香貫八重原,5,9,5,4
2014,第三,下香貫楊原,432,1024,485,539
2014,第三,下香貫六反,8,14,6,8
2014,第四,市場町,318,632,301,331
2014,第四,上香貫大洞,1,3,1,2
2014,第四,上香貫仰天峰,19,41,22,19
2014,第四,上香貫長洞,4,9,4,5
2014,第四,上香貫東坂,6,11,5,6
2014,第四,上香貫蔓陀ヶ原,1,3,2,1
2014,第四,黒瀬町,53,128,61,67
2014,第四,西島町,591,1299,621,678
2014,第四,住吉町,229,529,257,272
2014,第四,三園町,512,1133,570,563
2014,第四,玉江町,218,485,237,248
2014,第四,中瀬町,390,815,406,409
2014,第四,中原町,82,190,97,93
2014,第四,上香貫三貫地,206,533,276,257
2014,第四,上香貫東本郷町,5,7,3,4
2014,第四,上香貫二瀬川町,126,274,131,143
2014,第四,上香貫宮原町,191,417,199,218
2014,第四,上香貫獅子路,11,22,13,9
2014,第四,上香貫槙島町,107,232,110,122
2014,第四,上香貫一ノ洞,3,8,4,4
2014,第四,上香貫三ノ洞,7,12,7,5
2014,第四,上香貫九十九洞,21,56,27,29
2014,第四,上香貫坂口,4,4,0,4
2014,第四,上香貫手城山,4,5,2,3
2014,第四,山ヶ下町,15,34,19,15
2014,第四,上香貫八重,16,42,17,25
2014,第四,上香貫鉛山,3,3,1,2
2014,第四,本郷町,694,1615,748,867
2014,第四,上香貫三園町,33,71,31,40
2014,第四,南本郷町,321,732,347,385
2014,第四,上香貫南本郷町,14,32,16,16
2014,第四,御幸町,470,1065,508,557
